cumomers	Glc6P:8	Fru6P:8	FruBP:8	GA3P:4	Sed7P.GA3P:512	Ery4P:8	Xul5P.Ery4P:8	Xul5P.Rib5P:4	Rib5P:4	Rul5P:4	Xul5P:4	Xul5P.Rib5P:128	Sed7P:16	Sed7P.GA3P:16	Fru6P:16	Xul5P.Ery4P:16	Xul5P:1	Xul5P.Rib5P:32	Sed7P:4	Sed7P.GA3P:4	Fru6P:4	Xul5P.Ery4P:4	Ery4P:4	Sed7P.GA3P:256	GA3P:2	PGA:2	PEP:2	Xul5P.Ery4P:128	Xul5P:8	Xul5P.Rib5P:256	Sed7P:32	Sed7P.GA3P:32	Fru6P:32	FruBP:32	GA3P:1	Xul5P.Rib5P:1	Rib5P:1	Rul5P:1	Xul5P.Ery4P:64	PGA:1	PEP:1	Sed7P.GA3P:128	Ery4P:2	Xul5P.Ery4P:2	Fru6P:2	Sed7P.GA3P:2	Sed7P:2	Xul5P.Rib5P:16	Rib5P:16	Rul5P:16	Xul5P:16	Xul5P.Rib5P:512	Sed7P:64	Sed7P.GA3P:64	Ery4P:1	Xul5P.Ery4P:1	Fru6P:1	Sed7P.GA3P:1	Sed7P:1	Xul5P.Rib5P:8	Rib5P:8	Rul5P:8	FruBP:1	Xul5P.Ery4P:256	FruBP:2	Xul5P.Ery4P:32	Xul5P:2	Rul5P:2	Rib5P:2	Xul5P.Rib5P:2	Xul5P.Rib5P:64	Sed7P:8	Sed7P.GA3P:8	FruBP:4	FruBP:16	PGA:4	PEP:4	Glc6P:2	Glc6P:1	Glc6P:4	Glc6P:32	CO2:1	Glc6P:16	b
Glc6P:8	ppp1.fwd+emp1.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	upt.fwd*(GLC:8)
Fru6P:8	-(emp1.fwd)	ppp6.s.rev+emp2.fwd+ppp4.s.rev	0	0	0	0	-(ppp4.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.s.fwd)	0	0	0	0	0	0	0	0	0	0	0
FruBP:8	0	-(emp2.fwd)	emp3.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GA3P:4	0	0	-(2*emp3.fwd)	ppp6.f.fwd+ppp5.s.rev+ppp4.s.rev+emp4.fwd	-(ppp6.f.rev)	0	0	-(ppp5.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.s.fwd)	0	0	0	0	0	0	0	0	0	-(2*emp3.fwd)	0	0	0	0	0	0	0	0	0	0
Sed7P.GA3P:512	0	0	0	-(ppp6.f.fwd)	ppp6.s.fwd+ppp6.f.rev	-(ppp6.s.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ery4P:8	0	0	0	0	-(ppp6.s.fwd)	ppp6.s.rev+ppp4.f.fwd	-(ppp4.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P.Ery4P:8	0	-(ppp4.s.rev)	0	0	0	-(ppp4.f.fwd)	ppp4.f.rev+ppp4.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P.Rib5P:4	0	0	0	-(ppp5.s.rev)	0	0	0	ppp5.f.rev+ppp5.s.fwd	-(ppp5.f.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rib5P:4	0	0	0	0	0	0	0	-(ppp5.f.rev)	ppp5.f.fwd+ppp3.rev	-(ppp3.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rul5P:4	0	0	0	0	0	0	0	0	-(ppp3.rev)	ppp2.fwd+ppp3.fwd	-(ppp2.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp1.fwd)	0	0	0	0
Xul5P:4	0	0	0	0	0	0	0	0	0	-(ppp2.fwd)	ppp4.f.fwd+ppp5.f.fwd+ppp2.rev	-(ppp5.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P.Rib5P:128	0	0	0	0	0	0	0	0	0	0	-(ppp5.f.fwd)	ppp5.f.rev+ppp5.s.fwd	-(ppp5.s.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sed7P:16	0	0	0	0	0	0	0	0	0	0	0	-(ppp5.s.fwd)	ppp6.f.fwd+ppp5.s.rev	-(ppp6.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sed7P.GA3P:16	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.f.fwd)	ppp6.s.fwd+ppp6.f.rev	-(ppp6.s.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru6P:16	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.s.fwd)	ppp6.s.rev+emp2.fwd+ppp4.s.rev	-(ppp4.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(emp1.fwd)	0
Xul5P.Ery4P:16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.s.rev)	ppp4.f.rev+ppp4.s.fwd	-(ppp4.f.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.f.rev)	ppp4.f.fwd+ppp5.f.fwd+ppp2.rev	-(ppp5.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp2.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P.Rib5P:32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp5.f.fwd)	ppp5.f.rev+ppp5.s.fwd	-(ppp5.s.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sed7P:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp5.s.fwd)	ppp6.f.fwd+ppp5.s.rev	-(ppp6.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sed7P.GA3P:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.f.fwd)	ppp6.s.fwd+ppp6.f.rev	-(ppp6.s.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru6P:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.s.fwd)	ppp6.s.rev+emp2.fwd+ppp4.s.rev	-(ppp4.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(emp1.fwd)	0	0	0	0
Xul5P.Ery4P:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.s.rev)	ppp4.f.rev+ppp4.s.fwd	-(ppp4.f.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ery4P:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.f.rev)	ppp6.s.rev+ppp4.f.fwd	-(ppp6.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sed7P.GA3P:256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.s.rev)	ppp6.s.fwd+ppp6.f.rev	-(ppp6.f.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GA3P:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp6.f.rev)	ppp6.f.fwd+ppp5.s.rev+ppp4.s.rev+emp4.fwd	0	0	-(ppp4.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(2*emp3.fwd)	0	0	0	0	-(ppp5.s.fwd)	0	0	0	0	-(2*emp3.fwd)	0	0	0	0	0	0	0	0	0
PGA:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(emp4.fwd)	emp5.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEP:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(emp5.fwd)	emp6.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
